Matte Grade (% Cu in Matte),Slag Temperature (°C),Silica Flux Added (% SiO2 in Slag),Settling Time (Minutes),Copper Loss in Slag (% Cu)
42.472407130841745,1254.7242571029617,24.62832322096549,51.526542810897446,1.0598387907975735
77.04285838459498,1230.4144549516182,33.54752368445895,48.33455021037848,0.9471844211366195
63.919636508684306,1196.4291424429491,41.82364589691021,12.051365264514855,0.43552924391668474
55.919509051822196,1272.0692529560424,38.305622160239025,37.299826210092505,0.8848854280778572
29.36111842654619,1252.709675883082,40.16402869653624,40.41564950286856,0.6367659423888948
29.35967122017216,1174.3925409017338,36.469584167767934,41.90582247175204,0.6769935296401381
23.485016730091967,1286.6390776740764,37.306914112946316,56.413789538186585,0.5649508643409412
71.97056874649611,1273.3805864384753,41.22989128913298,52.68820373815028,0.4567367865076424
56.06690070459253,1292.4699869937886,26.241700221479647,58.63240742347557,1.0507015688272083
62.48435466776273,1258.8579262582539,32.23562409107851,71.19066092337026,0.31792127324130826
21.23506965774815,1242.0122793903686,25.530236045490057,75.03885909728749,0.6761153628937085
78.19459112971967,1212.7364554435928,44.69170019991617,67.44984609811955,1.0435563841905453
69.94655844802531,1289.9092725031019,43.60148349216533,86.44189567639478,0.3183216942738509
32.74034664069657,1279.9095834250613,20.98567028421265,11.45860661410893,1.3339179240535133
30.909498032426036,1156.7828005159283,37.63937931289221,25.662238854683686,0.7674049867838584
31.00427059120603,1153.9550461745878,43.13120793539164,10.60502999825137,0.7652154645621091
38.254534577572265,1206.4695050317075,24.51438362818334,61.79797713236824,1.0257613358803332
51.48538589793427,1271.582999617275,34.198630763815736,81.84244391599896,0.7553994501125054
45.916701118526944,1298.0914193972417,42.887207439701044,29.478583726103942,0.746575442560517
37.47374841188251,1172.5625336655291,20.84864946464497,84.16276358370453,1.3133247236144712
56.71117368334277,1239.1196073028202,37.435506681171,14.821391223164868,0.9763126166685371
28.36963163912251,1207.1336284946533,27.43372518431377,84.75488214444114,0.6554297530861233
37.528678912113094,1295.4871596721905,43.10990488441326,38.12981497917075,0.6320133784339768
41.9817105976215,1276.3178384703563,44.27645612913419,18.11366627593732,0.7030117786863764
47.364199053022155,1275.7493057066706,43.60666222783585,48.86974073490605,0.6363120982490615
67.11055768358082,1220.3039739692456,31.855355416436595,30.542125417640634,0.5718505527447406
31.980426929501583,1212.2229253506498,41.55106627473283,32.78983215695383,0.6356659388828272
50.8540663048167,1191.0110607896058,41.11373496337676,34.58319719410292,0.8432258841560654
55.54487413172255,1158.4563244976391,27.97751183108139,74.24207182661307,1.018723651266704
22.787024763199863,1279.708356438258,40.72288685376694,53.132902134020355,0.5228665675345769
56.4526911140863,1271.9351513695117,20.925190867887316,34.90461593248029,1.5061411410607393
30.23144742123749,1299.9576509929195,34.90674696205133,58.826702664873466,0.5782241704087655
23.903095579116773,1299.4955255610857,25.750220932192576,67.29205393785548,0.7629277311417539
76.93313223519999,1233.3147558403941,23.01417214443197,31.8099200586827,1.48233669260709
77.93792198447356,1265.3481122770766,21.92383004073023,43.08392812202812,1.6249145921019836
68.50384088698766,1291.7148594823643,37.407219396953494,19.750887466955803,0.4288729557541926
38.27682615040224,1277.4471086016117,28.49687409420165,24.491947962774425,0.7766410104255648
25.86032684038303,1187.1022152614796,38.11916928821904,64.48942831719862,0.6049452903971113
61.053981590729414,1217.581620296514,21.63390851997356,24.515067815650156,0.9823794688228525
46.40914962437608,1169.3739122727243,27.88225844576526,52.01307069336481,0.8375244763036664
27.32229409068673,1293.1076540888084,33.48728230938343,66.72370093779462,0.5701140712682826
49.71061460667621,1240.926195167632,39.76807912097409,18.55015384757951,0.8993299457662643
22.063311266913104,1184.2964208255194,27.968812573301747,55.38497757031229,0.5889078895267699
74.55922412472692,1250.7551026608785,35.647284410925224,30.5250226961091,0.6971653850470783
35.52679889600101,1242.7192360686845,42.14944370590467,87.03415001900639,0.5829670901660893
59.75133706123892,1203.724407704926,35.39657970455762,48.683651737593976,1.0687928969271432
38.70266456536466,1167.0336388299443,25.823986868840844,74.47940398201266,1.0059877990538417
51.20408127066865,1250.73597933892,20.610019538913452,54.01812337250094,1.4739184191469035
52.80261676059678,1228.046155135569,41.752471847523246,13.473002628385533,0.88783455186269
31.091267331531622,1265.8477587603459,20.531735271259677,60.65211004752179,1.3389147107927024
78.17507766587352,1228.024525166799,41.867541817104986,86.11226737653256,0.9520182771717202
66.50796940166687,1277.827225047781,33.2234283506803,58.1289456117065,0.35364774113717423
76.36993649385136,1232.786025816173,43.476692462822406,75.53510875414321,0.729449051229542
73.68964102565893,1234.140695730308,39.96958089434163,80.73651706787263,0.5137853454224189
55.87399872866511,1281.4980403987518,44.94835276333343,28.246381755914598,0.8164131719657552
75.312454101387,1210.5224299318595,28.767795386292754,26.96358719265813,0.9836624525402079
